Date,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Feb 15,0,15,15,,12,0,0,0
Feb 16,0,15,15,0,12,0,0,0
Feb 17,0,15,15,0,12,0,0,0
Feb 18,0,15,15,0,12,0,0,0
Feb 19,0,15,15,0,12,0,0,0
Feb 20,0,15,15,0,10,0,0,0
Feb 21,0,35,35,20,29,0,0,0
Feb 22,0,35,35,0,29,0,0,0
Feb 23,0,35,35,0,28,0,0,0
Feb 24,0,53,53,18,48,0,0,0
Feb 25,0,57,57,4,51,0,0,0
Feb 26,0,60,60,3,54,0,0,0
Feb 27,0,60,60,0,54,0,0,0
Feb 28,0,63,63,3,57,0,0,0
Feb 29,12.5,68,68,5,60,1,1,1
Mar 01,10,75,75,7,65,1,1,0
Mar 02,40,100,100,25,85,6,6,5
Mar 03,50,124,124,24,106,9,9,3
Mar 04,55,158,158,34,138,11,11,2
Mar 05,57.14,221,221,63,200,12,12,1
Mar 06,50,319,319,98,289,15,15,3
Mar 07,55.88,435,435,116,401,19,19,4
Mar 08,59.46,541,541,106,504,22,22,3
Mar 09,63.41,704,704,163,663,26,26,4
Mar 10,66.67,994,994,290,949,30,30,4
Mar 11,71.7,1301,1301,307,1248,38,38,8
Mar 12,83.67,1630,1630,329,1581,41,41,3
Mar 13,84.21,2183,2183,553,2126,48,48,7
Mar 14,54.21,2771,2771,588,2664,58,58,10
Mar 15,54.89,3617,3617,846,3484,73,73,15
Mar 16,55.88,4604,4604,987,4434,95,95,22
Mar 17,53.07,6357,6357,1753,6129,121,121,26
Mar 18,60,9317,9317,2960,9032,171,171,50
Mar 19,68.29,13898,13898,4581,13548,239,239,68
Mar 20,67.32,19551,19551,5653,19092,309,309,70
Mar 21,68.25,24418,24418,4867,23870,374,374,65
Mar 22,73.77,33840,33840,9422,33150,509,509,135
Mar 23,69.6,44189,44189,10349,43199,689,689,180
Mar 24,70.68,55398,55398,11209,54044,957,957,268
Mar 25,75.27,68905,68905,13507,67231,1260,1260,303
Mar 26,46.02,86379,86379,17474,82872,1614,1614,354
Mar 27,45.19,105217,105217,18838,100548,2110,2110,496
Mar 28,45.73,124788,124788,19571,118766,2754,2754,644
Mar 29,41.43,144980,144980,20192,137133,3251,3251,497
Mar 30,42.29,168177,168177,23197,158563,4066,4066,815
Mar 31,41.36,193353,193353,25176,180900,5151,5151,1085
Apr 01,41.71,220295,220295,26942,204966,6394,6394,1243
Apr 02,41.94,250708,250708,30413,232646,7576,7576,1182
Apr 03,41.65,283477,283477,32769,262257,8839,8839,1263
Apr 04,41.03,317994,317994,34517,292687,10384,10384,1545
Apr 05,39.48,343747,343747,25753,313879,11793,11793,1409
Apr 06,40.12,375348,375348,31601,342203,13298,13298,1505
Apr 07,41.51,409225,409225,33877,371824,15526,15526,2228
Apr 08,43.59,441569,441569,32344,400987,17691,17691,2165
Apr 09,43.3,475515,475515,33946,429785,19802,19802,2111
Apr 10,44.65,509604,509604,34089,460252,22038,22038,2236
Apr 11,44.14,539942,539942,30338,485427,24062,24062,2024
Apr 12,44.14,567708,567708,27766,509285,25789,25789,1727
Apr 13,42.68,594693,594693,26985,530230,27515,27515,1726
Apr 14,43.66,621953,621953,27260,553052,30081,30081,2566
Apr 15,40.18,652474,652474,30521,571061,32712,32712,2631
Apr 16,37.77,682454,682454,29980,590041,34905,34905,2193
Apr 17,38.23,714822,714822,32368,616864,37448,37448,2543
Apr 18,36.55,743901,743901,29079,636301,39331,39331,1883
Apr 19,36.49,770014,770014,26113,657926,40901,40901,1570
Apr 20,37.19,798145,798145,28131,682903,42853,42853,1952
Apr 21,35.45,824229,824229,26084,695770,45536,45536,2683
Apr 22,36.3,854385,854385,30156,722441,47894,47894,2358
Apr 23,36.89,886274,886274,31889,750118,50234,50234,2340
Apr 24,32.09,925232,925232,38958,762609,52191,52191,1957
Apr 25,31.47,960651,960651,35419,788233,54256,54256,2065
Apr 26,31.81,987160,987160,26509,812967,55412,55412,1156
Apr 27,29.01,1010356,1010356,23196,814571,56795,56795,1383
Apr 28,29.41,1035765,1035765,25409,834262,59265,59265,2470
Apr 29,29.49,1064194,1064194,28429,855128,61655,61655,2390
